Platz,PAK,SNR,Name,Vorname,Verein,AK,Zeit,Schwimmen,Rad,Laufen,Details
343,46,363,Rösel,Christian,TRIStars Markkleeberg e. V.,AK 30,02:50:42,00:29:06,01:18:34,00:57:54,Details
344,35,613,Hübscher,Detlef,Leipzig,AK 55,02:50:55,00:34:19,01:15:30,00:52:53,Details
345,36,435,Müller,Hendrik,Wasserballett feuchte Nixen,AK 55,02:51:22,00:29:23,01:18:34,00:57:33,Details
346,62,706,Döge,Thomas,Dynamo Südstadt,AK 35,02:51:24,00:34:19,01:15:05,00:54:59,Details
347,79,602,Riedel,Mathias,LG Gerstenmalz,AK 40,02:51:25,00:27:46,01:25:38,00:52:41,Details
348,37,664,Hofmann,Marcus,Chemnitz,AK 55,02:51:32,00:32:21,01:18:52,00:52:07,Details
349,30,781,Spröte,Enrico,Leipzig,AK 25,02:51:33,00:29:20,01:21:42,00:55:14,Details
350,36,794,Kröhnert,Steffen,RCB Bonn,AK 50,02:51:50,00:32:07,01:19:04,00:54:13,Details
351,63,563,Andrae,Sebastian,Leipzig,AK 35,02:52:03,00:33:59,01:22:31,00:49:17,Details
352,64,424,Schleinitz,Felix,Stahlrenner,AK 35,02:52:03,00:36:20,01:20:22,00:49:24,Details
353,38,347,Mehner,Thomas,Taucha,AK 55,02:52:04,00:36:31,01:15:23,00:53:05,Details
354,9,84,Hellhund,Ralf,KCR Sindlingen Triathlon,AK 60,02:52:06,00:36:10,01:16:02,00:54:00,Details
355,65,611,Scheffler,Thomas,SV Viktoria Einsiedel,AK 35,02:52:06,00:32:12,01:25:31,00:48:28,Details
356,31,544,Aldrich,Joshua Aaron,Leipzig,AK 25,02:52:13,00:31:52,01:24:27,00:47:31,Details
357,37,470,Aumann,Christian,Naumburg,AK 50,02:52:22,00:32:41,01:18:29,00:55:06,Details
358,15,267,Jacobs,Luis,Nüsser Frönde,AK 20,02:52:28,00:32:12,01:14:40,00:59:48,Details
359,10,571,Hess,Joachim,KCR Sindlingen Triathlon,AK 60,02:52:46,00:29:02,01:22:48,00:54:15,Details
360,37,582,Stellmacher,Sebastian,Freital,AK 45,02:52:51,00:22:48,01:16:14,01:07:32,Details
361,32,639,Olthoff,Stefan,Bunte Truppe,AK 25,02:52:52,00:29:13,01:17:45,00:59:39,Details
362,11,160,Pöschmann,Roland,TC Fiko Rostock,AK 60,02:52:54,00:36:01,01:19:45,00:48:42,Details
363,39,413,Liebing,Mario,Hier ist Borna. Hier ist Liebing.,AK 55,02:52:58,00:36:51,01:20:25,00:50:08,Details
364,38,274,Neumann,Martin,Triathlon Team Göppingen,AK 45,02:53:04,00:34:12,01:19:39,00:53:33,Details
365,80,371,Wippel,André,Burgstädt,AK 40,02:53:08,00:38:33,01:14:52,00:54:38,Details
366,33,622,Stumpf,Tobias,Leipzig,AK 25,02:53:24,00:36:39,01:16:28,00:54:16,Details
367,66,427,Sturm,Falko,Stahlrenner,AK 35,02:53:37,00:34:54,01:21:00,00:51:47,Details
368,34,710,Reinhold,Dawid,Leipzig,AK 25,02:53:48,00:32:08,01:17:29,00:58:02,Details
369,67,787,Römer,Christoph,Mittweida,AK 35,02:53:52,00:39:45,01:18:53,00:49:06,Details
370,35,774,Bätje,Julian Martin,Wolfsburg,AK 25,02:54:04,00:30:31,01:21:26,00:55:51,Details
371,38,597,Salbert,Guido,SV Liebertwolkwitz,AK 50,02:54:14,00:31:43,01:26:26,00:48:33,Details
372,39,275,Reinhardt,Heino,Artiva Sports,AK 45,02:54:31,00:36:30,01:14:18,00:58:11,Details
373,39,726,Buttgereit,Heiko,TriTeam A&H - Leipzig,AK 50,02:54:34,00:28:09,01:20:29,00:58:10,Details
374,68,288,Dachs,Meik,Athletico Leipzig e. V.,AK 35,02:54:40,00:24:50,01:27:30,00:57:13,Details
